,stock,day,open,close,high,low,volume
2098,VNINDEX,2025_06_02,1330.71,1336.3,1336.33,1322.95,18669703083000.0
2099,VNINDEX,2025_06_03,1336.3,1347.25,1350.89,1336.3,22972484614000.0
2100,VNINDEX,2025_06_04,1347.25,1345.74,1351.14,1341.53,20929183482000.0
2101,VNINDEX,2025_06_05,1346.33,1342.09,1347.49,1336.11,17343753240000.0
2102,VNINDEX,2025_06_06,1342.09,1329.89,1344.92,1325.45,20372666375000.0
2103,VNINDEX,2025_06_09,1329.89,1310.57,1331.56,1309.05,16414588893000.0
2104,VNINDEX,2025_06_10,1310.57,1316.23,1323.61,1299.94,17052740418000.0
2105,VNINDEX,2025_06_11,1322.07,1315.2,1322.07,1306.25,13048809636000.0
2106,VNINDEX,2025_06_12,1315.2,1322.99,1326.03,1308.63,18831975970000.0
2107,VNINDEX,2025_06_13,1322.99,1315.49,1326.62,1304.12,26108309065000.0
2108,VNINDEX,2025_06_16,1315.49,1338.11,1338.66,1307.37,19355402310000.0
2109,VNINDEX,2025_06_17,1338.11,1347.69,1353.01,1338.11,18260315167000.0
2110,VNINDEX,2025_06_18,1347.69,1346.83,1353.99,1341.64,18620541219000.0
2111,VNINDEX,2025_06_19,1346.83,1352.04,1353.96,1342.08,16281828430000.0
2112,VNINDEX,2025_06_20,1352.04,1349.35,1356.78,1342.31,20252762478000.0
2113,VNINDEX,2025_06_23,1349.35,1358.18,1358.26,1338.49,18262073187000.0
2114,VNINDEX,2025_06_24,1358.18,1366.77,1371.24,1355.53,22282047512000.0
2115,VNINDEX,2025_06_25,1369.05,1366.75,1371.57,1364.09,18368836403000.0
2116,VNINDEX,2025_06_26,1366.75,1365.67,1372.74,1360.78,14982492115000.0
2117,VNINDEX,2025_06_27,1365.67,1371.44,1373.28,1362.09,17410071931000.0
2118,VNINDEX,2025_06_30,1371.44,1376.07,1377.3,1371.44,16451165467000.0
2119,VNINDEX,2025_07_01,1376.07,1377.84,1382.16,1369.74,17870485805000.0
2120,VNINDEX,2025_07_02,1377.84,1384.59,1384.72,1372.27,20201694164000.0
2121,VNINDEX,2025_07_03,1384.59,1381.96,1392.39,1377.06,30508411649000.0
2122,VNINDEX,2025_07_04,1385.19,1386.97,1388.04,1379.4,19482364381000.0
2123,VNINDEX,2025_07_07,1393.34,1402.06,1402.32,1386.97,26388049730000.0
2124,VNINDEX,2025_07_08,1407.07,1415.46,1415.65,1400.79,26722384788000.0
2125,VNINDEX,2025_07_09,1421.12,1431.32,1432.29,1415.46,33666149176000.0
2126,VNINDEX,2025_07_10,1437.13,1445.64,1446.16,1431.32,26303805423000.0
2127,VNINDEX,2025_07_11,1451.12,1457.76,1463.91,1445.64,30941885615000.0
2128,VNINDEX,2025_07_14,1471.4,1470.42,1473.93,1447.72,29338631722000.0
2129,VNINDEX,2025_07_15,1473.43,1460.65,1476.32,1460.16,32263589280000.0
2130,VNINDEX,2025_07_16,1459.87,1475.47,1475.47,1457.04,27614379841000.0
2131,VNINDEX,2025_07_17,1481.85,1490.01,1494.46,1475.47,34411415299000.0
2132,VNINDEX,2025_07_18,1497.53,1497.28,1501.2,1484.29,34949531534000.0
2133,VNINDEX,2025_07_21,1508.6,1485.05,1511.96,1481.37,32965509984000.0
2134,VNINDEX,2025_07_22,1485.26,1509.54,1509.54,1476.61,30489822993000.0
2135,VNINDEX,2025_07_23,1519.58,1512.31,1523.37,1507.14,36278162163000.0
2136,VNINDEX,2025_07_24,1520.25,1521.02,1525.32,1502.82,34287577679000.0
2137,VNINDEX,2025_07_25,1521.56,1531.13,1534.51,1519.79,35993350637000.0
2138,VNINDEX,2025_07_28,1541.82,1557.42,1558.12,1531.13,44415859701000.0
2139,VNINDEX,2025_07_29,1564.84,1493.41,1566.74,1490.24,67655810499000.0
2140,VNINDEX,2025_07_30,1502.26,1507.63,1512.15,1482.45,41373888780000.0
